alcaldia_catalogo,franja,dia_semana,mes,quincena,finde,trimestre,prob_bajo,prob_medio,prob_alto,nivel_riesgo,nivel_codigo,indice_riesgo
Azcapotzalco,Madrugada (00-05),Domingo,1,0,1,1,0.4668,0.4455,0.0877,Bajo,0,31.0
Azcapotzalco,Madrugada (00-05),Domingo,1,1,1,1,0.3967,0.5011,0.1022,Medio,1,35.3
Azcapotzalco,Mañana (06-11),Domingo,1,0,1,1,0.4794,0.4377,0.083,Bajo,0,30.2
Azcapotzalco,Mañana (06-11),Domingo,1,1,1,1,0.4197,0.4887,0.0916,Medio,1,33.6
Azcapotzalco,Noche (18-23),Domingo,1,0,1,1,0.1891,0.5958,0.2151,Medio,1,51.3
Azcapotzalco,Noche (18-23),Domingo,1,1,1,1,0.1735,0.594,0.2325,Medio,1,53.0
Azcapotzalco,Tarde (12-17),Domingo,1,0,1,1,0.2032,0.5708,0.226,Medio,1,51.1
Azcapotzalco,Tarde (12-17),Domingo,1,1,1,1,0.1669,0.5735,0.2596,Medio,1,54.6
Azcapotzalco,Madrugada (00-05),Jueves,1,0,0,1,0.8615,0.1309,0.0076,Bajo,0,7.3
Azcapotzalco,Madrugada (00-05),Jueves,1,1,0,1,0.8612,0.1312,0.0076,Bajo,0,7.3
Azcapotzalco,Mañana (06-11),Jueves,1,0,0,1,0.3105,0.5012,0.1883,Medio,1,43.9
Azcapotzalco,Mañana (06-11),Jueves,1,1,0,1,0.3023,0.5039,0.1938,Medio,1,44.6
Azcapotzalco,Noche (18-23),Jueves,1,0,0,1,0.2316,0.524,0.2444,Medio,1,50.6
Azcapotzalco,Noche (18-23),Jueves,1,1,0,1,0.2374,0.5312,0.2313,Medio,1,49.7
Azcapotzalco,Tarde (12-17),Jueves,1,0,0,1,0.18,0.5882,0.2318,Medio,1,52.6
Azcapotzalco,Tarde (12-17),Jueves,1,1,0,1,0.2007,0.5596,0.2397,Medio,1,52.0
Azcapotzalco,Madrugada (00-05),Lunes,1,0,0,1,0.8183,0.1718,0.0099,Bajo,0,9.6
Azcapotzalco,Madrugada (00-05),Lunes,1,1,0,1,0.7977,0.1921,0.0102,Bajo,0,10.6
Azcapotzalco,Mañana (06-11),Lunes,1,0,0,1,0.3545,0.4631,0.1824,Medio,1,41.4
Azcapotzalco,Mañana (06-11),Lunes,1,1,0,1,0.3241,0.499,0.1769,Medio,1,42.6
Azcapotzalco,Noche (18-23),Lunes,1,0,0,1,0.2292,0.5644,0.2064,Medio,1,48.9
Azcapotzalco,Noche (18-23),Lunes,1,1,0,1,0.1869,0.6146,0.1985,Medio,1,50.6
Azcapotzalco,Tarde (12-17),Lunes,1,0,0,1,0.1944,0.4882,0.3174,Medio,1,56.2
Azcapotzalco,Tarde (12-17),Lunes,1,1,0,1,0.1681,0.5234,0.3085,Medio,1,57.0
Azcapotzalco,Madrugada (00-05),Martes,1,0,0,1,0.8927,0.1015,0.0058,Bajo,0,5.7
Azcapotzalco,Madrugada (00-05),Martes,1,1,0,1,0.8852,0.1087,0.0062,Bajo,0,6.1
Azcapotzalco,Mañana (06-11),Martes,1,0,0,1,0.2958,0.5192,0.185,Medio,1,44.5
Azcapotzalco,Mañana (06-11),Martes,1,1,0,1,0.2635,0.5341,0.2024,Medio,1,46.9
Azcapotzalco,Noche (18-23),Martes,1,0,0,1,0.1922,0.599,0.2088,Medio,1,50.8
Azcapotzalco,Noche (18-23),Martes,1,1,0,1,0.2148,0.5651,0.2201,Medio,1,50.3
Azcapotzalco,Tarde (12-17),Martes,1,0,0,1,0.1922,0.5155,0.2924,Medio,1,55.0
Azcapotzalco,Tarde (12-17),Martes,1,1,0,1,0.1606,0.5533,0.2861,Medio,1,56.3
Azcapotzalco,Madrugada (00-05),Miércoles,1,0,0,1,0.8529,0.1386,0.0085,Bajo,0,7.8
Azcapotzalco,Madrugada (00-05),Miércoles,1,1,0,1,0.8407,0.1522,0.0071,Bajo,0,8.3
Azcapotzalco,Mañana (06-11),Miércoles,1,0,0,1,0.2156,0.5404,0.244,Medio,1,51.4
Azcapotzalco,Mañana (06-11),Miércoles,1,1,0,1,0.196,0.5893,0.2146,Medio,1,50.9
Azcapotzalco,Noche (18-23),Miércoles,1,0,0,1,0.1347,0.6277,0.2376,Medio,1,55.1
Azcapotzalco,Noche (18-23),Miércoles,1,1,0,1,0.1614,0.6761,0.1625,Medio,1,50.1
Azcapotzalco,Tarde (12-17),Miércoles,1,0,0,1,0.1506,0.4362,0.4133,Medio,1,63.1
Azcapotzalco,Tarde (12-17),Miércoles,1,1,0,1,0.155,0.4878,0.3572,Medio,1,60.1
Azcapotzalco,Madrugada (00-05),Sábado,1,0,1,1,0.4807,0.4404,0.0789,Bajo,0,29.9
Azcapotzalco,Madrugada (00-05),Sábado,1,1,1,1,0.4134,0.498,0.0886,Medio,1,33.8
Azcapotzalco,Mañana (06-11),Sábado,1,0,1,1,0.3924,0.4678,0.1398,Medio,1,37.4
Azcapotzalco,Mañana (06-11),Sábado,1,1,1,1,0.3249,0.5511,0.124,Medio,1,40.0
Azcapotzalco,Noche (18-23),Sábado,1,0,1,1,0.1896,0.5901,0.2203,Medio,1,51.5
Azcapotzalco,Noche (18-23),Sábado,1,1,1,1,0.1681,0.5933,0.2386,Medio,1,53.5
Azcapotzalco,Tarde (12-17),Sábado,1,0,1,1,0.1475,0.5072,0.3453,Medio,1,59.9
Azcapotzalco,Tarde (12-17),Sábado,1,1,1,1,0.1091,0.5288,0.3621,Medio,1,62.6
Azcapotzalco,Madrugada (00-05),Viernes,1,0,0,1,0.7376,0.2474,0.015,Bajo,0,13.9
Azcapotzalco,Madrugada (00-05),Viernes,1,1,0,1,0.7092,0.2767,0.0141,Bajo,0,15.2
Azcapotzalco,Mañana (06-11),Viernes,1,0,0,1,0.2967,0.4928,0.2105,Medio,1,45.7
Azcapotzalco,Mañana (06-11),Viernes,1,1,0,1,0.2569,0.5551,0.1881,Medio,1,46.6
